RED1,IR1,RED2,IR2,RED3,IR3,RED4,IR4
4318,4689,77915,112464,82357,147887,82400,147848
4484,4823,89688,112622,213494,260209,213474,260221
4475,4799,89766,112696,262143,262143,262143,262143
4457,4779,89671,112373,262143,262143,262143,262143
4467,4776,89605,112459,262143,262143,262143,262143
4445,4772,89537,112170,262143,262143,262143,262143
4459,4767,89500,112376,262143,262143,262143,262143
4462,4790,89517,112190,262143,262143,262143,262143
4464,4774,89416,112115,262143,262143,262143,262143
4456,4774,89413,112037,262143,262143,262143,262143
4451,4782,89391,112095,262143,262143,262143,262143
4466,4795,89464,112227,262143,262143,262143,262143
4473,4795,89509,112328,262143,262143,262143,262143
4462,4806,89529,112363,262143,262143,262143,262143
4470,4787,89506,112319,262143,262143,262143,262143
4464,4813,89482,112216,262143,262143,262143,262143
4467,4785,89456,112316,262143,262143,262143,262143
4466,4812,89449,112177,262143,262143,262143,262143
4464,4782,89431,112222,262143,262143,262143,262143
4457,4791,89473,112196,262143,262143,262143,262143
4462,4787,89424,112167,262143,262143,262143,262143
4458,4790,89441,112141,262143,262143,262143,262143
4449,4782,89390,112101,262143,262143,262143,262143
4450,4797,89392,111964,262143,262143,262143,262143
4462,4797,89280,111734,262143,262143,262143,262143
4457,4797,89394,112275,262143,262143,262143,262143
4460,4786,89390,111847,262143,262143,262143,262143
4453,4796,89284,111899,262143,262143,262143,262143
4460,4797,89326,112050,262143,262143,262143,262143
4462,4803,89367,111939,262143,262143,262143,262143
4454,4789,89225,111678,262143,262143,262143,262143
4459,4790,89265,111991,262143,262143,262143,262143
4464,4789,89289,111933,262143,262143,262143,262143
4437,4788,89322,112232,262143,262143,262143,262143
4458,4778,89416,112262,262143,262143,262143,262143
4446,4792,89471,112377,262143,262143,262143,262143
4466,4772,89388,112197,262143,262143,262143,262143
4443,4765,89257,111655,262143,262143,262143,262143
4466,4766,89045,111283,262143,262143,262143,262143
4461,4756,89013,111276,262143,262143,262143,262143
4459,4757,89017,111408,262143,262143,262143,262143
4455,4757,89141,111928,262143,262143,262143,262143
4463,4762,89222,111642,262143,262143,262143,262143
4443,4769,89134,111765,262143,262143,262143,262143
4453,4772,89232,112069,262143,262143,262143,262143
4440,4752,89178,111493,262143,262143,262143,262143
4451,4772,89077,111307,262143,262143,262143,262143
4443,4756,88970,111108,262143,262143,262143,262143
4464,4766,89058,113077,262143,262143,262143,262143
4449,4760,89543,112546,262143,262143,262143,262143
4455,4759,89689,113166,262143,262143,262143,262143
4451,4777,90137,114131,262143,262143,262143,262143
4462,4766,90616,113755,262143,262143,262143,262143
4450,4770,89906,114166,262143,262143,262143,262143
4466,4764,91623,115530,262143,262143,262143,262143
4451,4761,90611,114175,262143,262143,262143,262143
4438,4754,89879,113315,262143,262143,262143,262143
4462,4769,90106,113872,262143,262143,262143,262143
4449,4765,90422,114194,262143,262143,262143,262143
4463,4766,90353,113179,262143,262143,262143,262143
4452,4771,89751,112790,262143,262143,262143,262143
4457,4767,89759,112905,262143,262143,262143,262143
4454,4764,90107,114137,262143,262143,262143,262143
4439,4766,89951,112816,262143,262143,262143,262143
4431,4773,90107,113800,262143,262143,262143,262143
4456,4752,90015,112633,262143,262143,262143,262143
4462,4769,89290,112094,262143,262143,262143,262143
4461,4761,89901,115028,262143,262143,262143,262143
4440,4762,91193,114425,262143,262143,262143,262143
4454,4766,89939,112970,262143,262143,262143,262143
4460,4776,90879,115337,262143,262143,262143,262143
4456,4774,91503,116107,262143,262143,262143,262143
4448,4782,91382,114571,262143,262143,262143,262143
4444,4781,91250,115796,262143,262143,262143,262143
4446,4780,91783,116658,262143,262143,262143,262143
4458,4772,92295,117379,262143,262143,262143,262143
4448,4766,92930,118273,262143,262143,262143,262143
4454,4768,93049,117745,262143,262143,262143,262143
4449,4777,92602,116965,262143,262143,262143,262143
4447,4757,92192,116681,262143,262143,262143,262143
4431,4762,92330,116803,262143,262143,262143,262143
4453,4772,91935,116200,262143,262143,262143,262143
4444,4762,91760,115806,262143,262143,262143,262143
4463,4783,91427,115658,262143,262143,262143,262143
4447,4765,91366,115583,262143,262143,262143,262143
4461,4767,91242,115659,262143,262143,262143,262143
4461,4775,91467,115435,262143,262143,262143,262143
4443,4772,90998,114528,262143,262143,262143,262143
4445,4770,90686,114279,262143,262143,262143,262143
4462,4764,90409,113565,262143,262143,262143,262143
4462,4759,90230,113578,262143,262143,262143,262143
4448,4776,90243,114253,262143,262143,262143,262143
4442,4775,90563,114373,262143,262143,262143,262143
4454,4773,90510,113996,262143,262143,262143,262143
4449,4766,90251,113705,262143,262143,262143,262143
4453,4771,90304,113918,262143,262143,262143,262143
4464,4744,90423,114058,262143,262143,262143,262143
4453,4784,90428,114084,262143,262143,262143,262143
4465,4768,90373,114029,262143,262143,262143,262143
4439,4781,90216,113551,262143,262143,262143,262143
4318,4689,77915,112464,82357,147887,82400,147848
4452,4770,90246,113601,262143,262143,262143,262143
4452,4777,90197,113672,262143,262143,262143,262143
4442,4756,90128,113173,262143,262143,262143,262143
4440,4777,89943,113087,262143,262143,262143,262143
4458,4764,90071,113655,262143,262143,262143,262143
4439,4769,90624,113996,262143,262143,262143,262143
4452,4764,90240,113376,262143,262143,262143,262143
4438,4775,89927,112679,262143,262143,262143,262143
4440,4760,89714,112546,262143,262143,262143,262143
4440,4755,89680,112821,262143,262143,262143,262143
4456,4772,89805,112856,262143,262143,262143,262143
4440,4768,89872,113269,262143,262143,262143,262143
4454,4773,90024,113358,262143,262143,262143,262143
4433,4758,90079,113421,262143,262143,262143,262143
4454,4764,90000,113057,262143,262143,262143,262143
4430,4772,89966,113274,262143,262143,262143,262143
4459,4761,89912,113277,262143,262143,262143,262143
4438,4762,89875,113078,262143,262143,262143,262143
4441,4763,89790,112771,262143,262143,262143,262143
4447,4762,89679,112571,262143,262143,262143,262143
4454,4781,89727,112953,262143,262143,262143,262143
4444,4763,89817,112972,262143,262143,262143,262143
4452,4767,89829,112922,262143,262143,262143,262143
4449,4753,89788,112797,262143,262143,262143,262143
4444,4767,89758,112855,262143,262143,262143,262143
4445,4755,89749,112863,262143,262143,262143,262143
4450,4767,89774,112957,262143,262143,262143,262143
4433,4775,89837,113119,262143,262143,262143,262143
4444,4759,89752,112546,262143,262143,262143,262143
4450,4764,89600,112304,262143,262143,262143,262143
4439,4769,89512,112427,262143,262143,262143,262143
4448,4760,89528,112224,262143,262143,262143,262143
4428,4775,89469,112233,262143,262143,262143,262143
4434,4781,89521,112588,262143,262143,262143,262143
4455,4761,89569,112579,262143,262143,262143,262143
4439,4754,89611,112815,262143,262143,262143,262143
4438,4796,89688,112589,262143,262143,262143,262143
