IR,RED,Heart Rate,Respiration Rate,SPO2
217148,232113,49.1803,15.9574,99.9433
217113,232098,69.7674,15.1515,99.1408
217115,232185,62.5,15.4639,94.8616
217176,232221,55.5556,15.625,97.3448
217163,232264,58.8235,15.544,94.8456
217100,232142,66.6667,15.3061,94.952
217129,231967,62.5,15.873,99.1317
217054,231750,60,15.544,94.8753
216911,231440,55.5556,14.8515,97.3124
216887,231262,62.5,15.3061,97.1228
216798,231049,60,15.0754,94.8548
216691,230883,56.6038,15.2284,95.0077
216688,230678,53.5714,15.3846,92.5742
216706,230543,57.6923,15.7068,95.0314
216550,230409,56.6038,15.3846,99.5007
216551,230266,61.2245,15.544,94.8929
216593,230181,60,15.625,99.4705
216528,230154,57.6923,15.625,97.1015
216620,230172,56.6038,15.3846,91.6717
216554,230176,58.8235,15.625,97.4396
216644,230166,57.6923,15.2284,98.889
216569,230142,65.2174,15.625,98.6873
216667,230159,63.8298,,98.7602
216575,230147,60,,98.7737
216681,230116,53.5714,,99.7659
216580,230153,54.5455,,99.2074
216748,230184,65.2174,,95.1532
216583,230238,55.5556,,96.2167
216733,230223,68.1818,,99.8237
216619,230212,500,,93.6658
216704,230280,62.5,,96.211
216598,230368,57.6923,,99.5926
216727,230384,56.6038,,95.0211
216769,230410,60,,99.7699
216705,230475,51.7241,,99.1108
216852,230499,58.8235,,83.7974
216758,230558,56.6038,,90.1037
216781,230687,61.2245,,92.485
216941,230641,65.2174,,94.9554
216772,230686,56.6038,,96.636
216864,230740,61.2245,,
217015,230767,54.5455,,
216866,230845,57.6923,,
216905,230981,56.6038,,
217078,230917,54.5455,,
216921,230996,56.6038,,
216950,231033,58.8235,,
217132,231075,54.5455,,
217018,231146,56.6038,,
217009,231293,56.6038,,
217194,231169,56.6038,,
217070,231300,60,,
217077,231459,58.8235,,
217244,231344,62.5,,
217160,231393,62.5,,
217088,231373,65.2174,,
217190,230977,61.2245,,
216949,230756,65.2174,,
216847,230562,61.2245,,
216906,230243,60,,
216692,230035,62.5,,
216617,229903,68.1818,,
216723,229625,75,,
216567,229493,81.0811,,
216470,229460,73.1707,,
216619,229189,75,,
216411,229190,66.6667,,
216489,229139,73.1707,,
216434,229163,71.4286,,
216505,229126,75,,
216468,229217,71.4286,,
216513,229177,65.2174,,
216468,229188,65.2174,,
216533,229153,60,,
216480,229200,65.2174,,
216552,229224,65.2174,,
216519,229241,68.1818,,
216566,229253,61.2245,,
216669,229268,61.2245,,
216511,229437,71.4286,,
216754,229378,66.6667,,
216605,229425,60,,
216694,229428,63.8298,,
216626,229538,61.2245,,
216695,229547,54.5455,,
216838,229652,53.5714,,
216692,229661,51.7241,,
216800,229739,,,
216743,229719,,,
216796,229819,,,
216865,229880,,,
216837,229898,,,
216892,230025,,,
216946,230058,,,
216887,230047,,,
216948,230173,,,
217017,230233,,,
216952,230230,,,
217002,230355,,,
217077,230413,,,
217001,230433,,,
217054,230510,,,
217120,230596,,,
217085,230582,,,
217059,230674,,,
217133,230640,,,
217069,230496,,,
216941,230183,,,
216934,229955,,,
216828,229725,,,
216694,229380,,,
216707,229262,,,
216622,229105,,,
216545,228848,,,
216554,228758,,,
216483,228644,,,
216418,228569,,,
216493,228467,,,
216463,228536,,,
216516,228572,,,
216468,228617,,,
216537,228629,,,
216459,228636,,,
216564,228627,,,
216487,228645,,,
216578,228615,,,
216477,228722,,,
216618,228721,,,
216610,228764,,,
216603,228772,,,
216811,228866,,,
216599,228945,,,
216784,228990,,,
216666,229067,,,
216738,229088,,,
216799,229160,,,
216710,229233,,,
216859,229253,,,
216805,229285,,,
216836,229465,,,
216960,229397,,,
216878,229485,,,
216839,229665,,,
217059,229635,,,
216887,229719,,,
216946,229880,,,
217124,229786,,,
217029,229907,,,
217007,230051,,,
217172,230013,,,
217039,230095,,,
217067,230263,,,
217247,230205,,,
217125,230279,,,
217164,230394,,,
217255,230372,,,
217136,230188,,,
217129,230011,,,
217057,229743,,,
216915,229381,,,
216876,229237,,,
216835,228961,,,
216699,228834,,,
216675,228731,,,
216716,228556,,,
216580,228347,,,
216550,228347,,,
216612,228318,,,
216506,228344,,,
216637,228358,,,
216563,228404,,,
216665,228406,,,
216569,228436,,,
216673,228407,,,
216570,228433,,,
216669,228461,,,
216613,228471,,,
216683,228562,,,
216624,228596,,,
216719,228662,,,
216778,228655,,,
216667,228862,,,
216893,228801,,,
216741,228860,,,
216841,228940,,,
216813,228981,,,
216831,229177,,,
217004,229095,,,
216891,229190,,,
216899,229179,,,
216956,229288,,,
216910,229338,,,
216965,229405,,,
217014,229464,,,
216948,229565,,,
217030,229590,,,
217113,229660,,,
217003,229737,,,
217086,229757,,,
217192,229884,,,
217092,229979,,,
217173,229964,,,
217299,230086,,,
217138,230081,,,
217189,229972,,,
217271,229715,,,
217062,229480,,,
216936,229328,,,
217012,228941,,,
216823,228755,,,
216732,228584,,,
216855,228414,,,
216640,228307,,,
216606,228291,,,
216738,228070,,,
216591,228087,,,
216632,228090,,,
216625,228166,,,
216673,228208,,,
216599,228232,,,
216668,228238,,,
216652,228275,,,
216695,228259,,,
216639,228253,,,
216721,228317,,,
216687,228341,,,
216743,228367,,,
216854,228418,,,
216682,228588,,,
216915,228570,,,
216803,228569,,,
216876,228698,,,
216847,228707,,,
216862,228899,,,
217043,228843,,,
216898,228940,,,
216925,228916,,,
217052,229007,,,
216913,229106,,,
216981,229067,,,
217126,229203,,,
216952,229297,,,
217048,229269,,,
217157,229393,,,
217004,229465,,,
217100,229506,,,
217281,229607,,,
217160,229653,,,
217172,229854,,,
217334,229793,,,
217222,229859,,,
217224,229903,,,
217375,229896,,,
217166,229731,,,
217123,229577,,,
217193,229128,,,
216970,228879,,,
216860,228750,,,
216946,228399,,,
216774,228265,,,
216671,228232,,,
216783,227915,,,
216623,227818,,,
216555,227810,,,
216660,227691,,,
216483,227799,,,
216705,227751,,,
216494,227854,,,
216723,227793,,,
216535,227862,,,
216711,227840,,,
216560,227890,,,
216729,227857,,,
216617,227927,,,
216718,227921,,,
216653,227974,,,
216718,228046,,,
216672,228082,,,
216750,228130,,,
216844,228123,,,
216706,228363,,,
216930,228328,,,
216785,228410,,,
216861,228448,,,
216902,228520,,,
216872,228564,,,
216960,228664,,,
216942,228643,,,
216996,228800,,,
217046,228775,,,
217045,228921,,,
217006,229044,,,
217155,228999,,,
217094,229127,,,
217052,229291,,,
217218,229261,,,
217138,229313,,,
217101,229492,,,
217291,229480,,,
217103,229587,,,
217218,229586,,,
217326,229632,,,
217154,229566,,,
217158,229338,,,
217117,229155,,,
216943,228874,,,
216955,228713,,,
216904,228518,,,
216778,228370,,,
216805,228285,,,
216749,228115,,,
216679,228064,,,
216721,228008,,,
216583,227984,,,
216671,228021,,,
216572,228076,,,
216705,228118,,,
216579,228136,,,
216717,228159,,,
216584,228148,,,
216711,228188,,,
216590,228226,,,
216710,228216,,,
216755,228237,,,
216712,228464,,,
216876,228387,,,
216727,228435,,,
216812,228466,,,
216790,228540,,,
216825,228629,,,
216810,228636,,,
216787,228869,,,
216996,228826,,,
216859,228913,,,
216886,228934,,,
216964,229007,,,
216956,229018,,,
216968,229122,,,
216991,229210,,,
216951,229226,,,
217040,229338,,,
217051,229437,,,
217007,229482,,,
217105,229526,,,
217112,229605,,,
217068,229617,,,
217168,229737,,,
217194,229815,,,
217144,229899,,,
217204,229905,,,
217335,229986,,,
217133,230006,,,
217200,229828,,,
217239,229659,,,
217041,229492,,,
217013,229248,,,
217098,229156,,,
216890,229046,,,
216864,229033,,,
216984,228808,,,
216834,228733,,,
216745,228781,,,
216910,228627,,,
216654,228734,,,
216906,228691,,,
216627,228833,,,
216945,228768,,,
216684,228869,,,
216968,228776,,,
216666,228896,,,
216939,228806,,,
216700,228943,,,
216915,228877,,,
216765,228910,,,
216884,228913,,,
216828,229023,,,
216886,229046,,,
216832,229099,,,
216885,229112,,,
216989,229216,,,
216883,229224,,,
