X,Y,Z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
0.03,-0.01,0.51
