X,Y,Z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
0.01,-0.03,0.49
