X,Y,Z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
0.02,-0.02,0.5
